Indicator,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,CountryCode,TimePeriod,Total,Time_Detail,Source,FootNote,Nature,Units,ReportingType,SeriesCode,CountryName,IndicatorName,IndicatorCode,Year,GDP
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2019,1.8,2019,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2019,172000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2018,1.7,2018,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2018,175000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2017,1.6,2017,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2017,170000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2016,1.4,2016,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2016,160000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2015,1.3,2015,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2015,166000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2009,1.1,2009,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2009,137000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2014,1.1,2014,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2014,214000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2010,1,2010,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2010,161000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2013,1,2013,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2013,210000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2020,1,2020,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2020,146000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2011,0.9,2011,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2011,200000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2012,0.9,2012,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2012,209000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),12,Algeria,DZA,2008,0.8,2008,National Statistics Office,  ,C,PERCENT,G,ST_GDP_ZS,Algeria,GDP (current US$),NY.GDP.MKTP.CD,2008,171000000000
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),32,Argentina,ARG,2017,1.986257922,2017,Ministerio de Turismo y Deportes e INDEC,  ,C,PERCENT,G,ST_GDP_ZS,Argentina,GDP (current US$),NY.GDP.MKTP.CD,2017,644000000000
