Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"International tourism, number of arrivals",ST.INT.ARVL,1383000,1420000,1394000,1469000,1481000,1667000,1739000,1832000,1758000,1863000,1897000,1951000,,,
Africa Eastern and Southern,AFE,"International tourism, number of arrivals",ST.INT.ARVL,25413098.27,25964418.07,29071500.51,31650243.88,32748552.39,34426632.68,35738392.21,35318681.46,37645887.77,38258347.88,41189145.27,39826701.4,,,
Afghanistan,AFG,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"International tourism, number of arrivals",ST.INT.ARVL,10157585.78,10569712.64,11070796.45,8902380.178,10221030.4,10085818.94,10544624,13311681.73,13150775.34,,,,,,
Angola,AGO,"International tourism, number of arrivals",ST.INT.ARVL,294000,366000,425000,481000,528000,650000,595000,592000,397000,261000,218000,218000,,,
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,1420000,1856000,2417000,2932000,3514000,3256000,3673000,4131000,4736000,5118000,5927000,6406000,2658000,,
Andorra,AND,"International tourism, number of arrivals",ST.INT.ARVL,10194000,9112000,8551000,7983000,7900000,7676000,7797000,7850000,8025000,8152000,8328000,8235000,5207000,,
Arab World,ARB,"International tourism, number of arrivals",ST.INT.ARVL,115508623.6,113944262.1,130381603.8,109790026.2,122650455.8,122579989.8,130620704.1,122563985.7,115219915.3,122153139.7,131892640.9,142447574.2,,,
United Arab Emirates,ARE,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,19313000,20894000,21805000,23092000,25282000,8084000,,
Argentina,ARG,"International tourism, number of arrivals",ST.INT.ARVL,4700000,4308000,6800000,6703000,6497000,6510000,7165000,6816000,6668000,6711000,6942000,7399000,,,
Armenia,ARM,"International tourism, number of arrivals",ST.INT.ARVL,558000,575000,684000,758000,963000,1084000,1204000,1192000,1260000,1495000,1652000,1894000,375000,,
American Samoa,ASM,"International tourism, number of arrivals",ST.INT.ARVL,24299.99924,23500,23100.00038,22600.00038,22600.00038,20799.99924,21600.00038,20299.99924,20100.00038,20000,20200.00076,19200.00076,899.9999762,,
Antigua and Barbuda,ATG,"International tourism, number of arrivals",ST.INT.ARVL,863000,944000,788000,848000,819000,777000,771000,894000,874000,1040000,1064000,1035000,384500,,
Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,5586000,5490000,5790000,5771000,6032000,6482000,6922000,7449000,8269000,8815000,9246000,9466000,1828000,,
